Dates,"Capcom Co., Ltd. (TSE:9697) - Volume","Capcom Co., Ltd. (TSE:9697) - Share Pricing",Annotation,Announced/Completed Transactions,Company Forecasts and Ratings,Bankruptcy Updates,Corporate Structure Related,Dividends/Splits,Listing/Trading Related,Potential Transactions,Transaction Updates,Potential Red Flags/Distress Indicators,Investor Activism,Insider Trades,Results Announcements/Corporate Communications,Annotation
Apr-20-2016,4.94mm,339.63,,,,,,,,,,,,,,
Apr-21-2016,2.95mm,344.75,,,,,,,,,,,,,,
Apr-22-2016,4.31mm,335.50,,,,,,,,,,,,,,
Apr-25-2016,6.00mm,325.50,,,,,,,,,,,,,,
Apr-26-2016,6.15mm,322.25,,,,,,,,,,,,,,
Apr-27-2016,3.86mm,323.13,,,,,,,,,,,,,,
Apr-28-2016,3.93mm,316.75,,,,,,,,,,,,,,
May-02-2016,2.65mm,312.63,,,,,,,,,,,,,,
May-06-2016,5.29mm,310.38,,,,,,,,,,,,,,
May-09-2016,4.74mm,314.75,,,,,,,,,,,,,314.75,
May-10-2016,15.95mm,303.38,,,,,,,,,,,,,303.375,
May-11-2016,6.79mm,311.75,,311.75,,,,,,,,,,,,
May-12-2016,7.23mm,305.50,,,,,,,,,,,,,,
May-13-2016,5.92mm,309.00,,,,,,,,,,,,,,
May-16-2016,5.62mm,306.13,,,,,,,,,,,,,,
May-17-2016,4.86mm,309.88,,,,,,,,,,,,,,
May-18-2016,5.70mm,308.25,,,,,,,,,,,,,,
May-19-2016,4.45mm,309.50,,,,,,,,,,,,,,
May-20-2016,7.33mm,325.50,,,,,325.5,,,,,,,,,
May-23-2016,4.55mm,320.00,,,,,,,,,,,,,,
May-24-2016,2.87mm,319.13,,,,,,,,,,,,,,
May-25-2016,3.04mm,317.50,,,,,,,,,,,,,,
May-26-2016,2.55mm,317.50,,,,,,,,,,,,,,
May-27-2016,6.15mm,327.00,,,,,,,,,,,,,,
May-30-2016,3.38mm,327.00,,,,,,,,,,,,,,
May-31-2016,3.89mm,327.50,,,,,,,,,,,,,,
Jun-01-2016,2.66mm,323.75,,,,,,,,,,,,,,
Jun-02-2016,4.12mm,318.75,,,,,,,,,,,,,,
Jun-03-2016,8.68mm,330.38,,,,,,,,,,,,,,
Jun-06-2016,6.89mm,336.00,,,,,,,,,,,,,,
Jun-07-2016,4.19mm,337.25,,,,,,,,,,,,,,
Jun-08-2016,2.94mm,339.63,,,,,,,,,,,,,,
Jun-09-2016,4.49mm,332.25,,,,,,,,,,,,,,
Jun-10-2016,3.00mm,332.00,,,,,,,,,,,,,,
Jun-13-2016,4.40mm,318.75,,,,,,,,,,,,,,
Jun-14-2016,11.10mm,318.00,,,,,,,,,,,,,,
Jun-15-2016,4.58mm,314.00,,,,,,,,,,,,,,
Jun-16-2016,4.22mm,300.25,,,,,,,,,,,,,,
Jun-17-2016,4.13mm,300.25,,,,,,,,,,,,,300.25,
Jun-20-2016,7.69mm,293.75,,,,,,,,,,,,,,
Jun-21-2016,7.12mm,290.63,,,,,,,,,,,,,,
Jun-22-2016,4.89mm,284.38,,,,,,,,,,,,,,
Jun-23-2016,5.01mm,285.75,,,,,,,,,,,,,,
Jun-24-2016,8.50mm,273.13,,,,,,,,,,,,,,
Jun-27-2016,6.26mm,285.50,,,,,,,,,,,,,,
Jun-28-2016,5.64mm,281.00,,,,,,,,,,,,,,
Jun-29-2016,4.21mm,289.75,,,,,,,,,,,,,,
Jun-30-2016,5.70mm,294.50,,,,,,,,,,,,,,
Jul-01-2016,3.83mm,301.88,,,,,,,,,,,,,,
Jul-04-2016,4.68mm,296.88,,,,,,,,,,,,,,
Jul-05-2016,6.94mm,288.00,,,,,,,,,,,,,,
Jul-06-2016,6.23mm,278.75,,,,,,,,,,,,,,
Jul-07-2016,5.62mm,272.75,,,,,,,,,,,,,,
Jul-08-2016,3.29mm,271.13,,,,,,,,,,,,,,
Jul-11-2016,4.54mm,278.13,,,,,,,,,,,,,,
Jul-12-2016,6.51mm,283.00,,,,,,,,,,,,,,
Jul-13-2016,9.07mm,276.88,,,,,,,,,,,,,,
Jul-14-2016,7.76mm,281.13,,,,,,,,,,,,,,
Jul-15-2016,5.99mm,275.75,,,,,,,,,,,,,,
Jul-19-2016,16.65mm,309.75,,,,,,,,,,,,,,
Jul-20-2016,9.18mm,306.13,,,,,,,,,,,,,,
Jul-21-2016,4.02mm,305.63,,,,,,,,,,,,,,
Jul-22-2016,3.99mm,297.75,,,,,,,,,,,,,,
Jul-25-2016,8.45mm,282.38,,,,,,,,,,,,,,
Jul-26-2016,6.32mm,279.88,,,,,,,,,,,,,,
Jul-27-2016,4.53mm,277.13,,,,,,,,,,,,,,
Jul-28-2016,5.56mm,269.38,,,,,,,,,,,,,269.375,
Jul-29-2016,11.88mm,263.00,,,,,,,,,,,,,,
Aug-01-2016,10.25mm,257.75,,,,,,,,,,,,,,
Aug-02-2016,6.60mm,249.25,,,,,,,,,,,,,,
Aug-03-2016,8.46mm,244.63,,,,,,,,,,,,,,
Aug-04-2016,10.31mm,245.25,,,,,,,,,,,,,,
Aug-05-2016,5.75mm,242.88,,,,,,,,,,,,,,
Aug-08-2016,9.47mm,246.13,,,,,,,,,,,,,,
Aug-09-2016,6.01mm,247.63,,,,,,,,,,,,,,
Aug-10-2016,11.88mm,257.75,,,,,,,,,,,,,,
Aug-12-2016,9.32mm,256.75,,,,,,,,,,,,,,
Aug-15-2016,8.86mm,263.38,,,,,,,,,,,,,,
Aug-16-2016,6.87mm,258.50,,,,,,,,,,,,,,
Aug-17-2016,4.30mm,252.25,,,,,,,,,,,,,,
Aug-18-2016,8.16mm,256.88,,,,,,,,,,,,,,
Aug-19-2016,6.06mm,258.00,,,,,,,,,,,,,,
Aug-22-2016,4.69mm,260.25,,,,,,,,,,,,,,
Aug-23-2016,5.10mm,259.88,,,,,,,,,,,,,,
Aug-24-2016,3.57mm,262.13,,,,,,,,,,,,,,
Aug-25-2016,3.99mm,264.88,,264.875,,,,,,,,,,,,
Aug-26-2016,22.23mm,278.13,,,,,,,,,,,,,,
Aug-29-2016,9.52mm,277.75,,,,,,,,,,,,,,
Aug-30-2016,6.82mm,277.88,,,,,,,,,,,,,,
Aug-31-2016,5.25mm,281.25,,,,,,,,,,,,,,
Sep-01-2016,9.43mm,278.50,,,,,,,,,,,,,,
Sep-02-2016,6.35mm,280.00,,,,,,,,,,,,,,
Sep-05-2016,4.25mm,279.88,,279.875,,,,,,,,,,,,
Sep-06-2016,8.86mm,291.75,,,,,,,,,291.75,,,,,
Sep-07-2016,5.92mm,284.38,,,,,,,,,,,,,,
Sep-08-2016,6.68mm,281.38,,,,,,,,,,,,,281.375,
Sep-09-2016,3.82mm,279.13,,,,,,,,,,,,,,
Sep-12-2016,8.62mm,286.38,,,,,,,,,,,,,,
Sep-13-2016,10.84mm,291.88,,,,,,,,,,,,,,
Sep-14-2016,6.92mm,282.50,,,,,,,,,,,,,,
Sep-15-2016,4.31mm,281.25,,,,,,,,,,,,,,
Sep-16-2016,4.26mm,281.75,,,,,,,,,,,,,,
Sep-20-2016,3.94mm,282.13,,,,,,,,,,,,,,
Sep-21-2016,4.11mm,285.88,,,,,,,,,,,,,,
Sep-23-2016,11.38mm,301.13,,,,,,,,,,,,,,
Sep-26-2016,5.09mm,292.13,,,,,,,,,,,,,,
Sep-27-2016,6.11mm,300.63,,,,,,,,,,,,,,
Sep-28-2016,5.30mm,306.13,,,,,,306.125,,,,,,,,
Sep-29-2016,5.48mm,311.63,,,,,,,,,,,,,,
Sep-30-2016,5.08mm,309.38,,,,,,,,,,,,,,
Oct-03-2016,5.56mm,309.75,,,,,,,,,,,,,,
Oct-04-2016,5.34mm,306.63,,,,,,,,,,,,,,
Oct-05-2016,7.53mm,316.00,,,,,,,,,,,,,,
Oct-06-2016,5.87mm,305.63,,,,,,,,,,,,,,
Oct-07-2016,4.54mm,309.00,,,,,,,,,,,,,,
Oct-11-2016,6.38mm,298.63,,,,,,,,,,,,,,
Oct-12-2016,7.01mm,290.50,,,,,,,,,,,,,,
Oct-13-2016,5.86mm,291.38,,,,,,,,,,,,,,
Oct-14-2016,2.82mm,292.75,,,,,,,,,,,,,,
Oct-17-2016,3.43mm,293.88,,,,,,,,,,,,,,
Oct-18-2016,8.65mm,305.63,,,,,,,,,,,,,,
Oct-19-2016,3.98mm,307.88,,,,,,,,,,,,,,
Oct-20-2016,5.93mm,314.38,,,,,,,,,,,,,,
Oct-21-2016,4.32mm,310.13,,,,,,,,,,,,,,
Oct-24-2016,2.43mm,310.00,,,,,,,,,,,,,,
Oct-25-2016,4.89mm,308.75,,,,,,,,,,,,,,
Oct-26-2016,6.90mm,300.75,,,,,,,,,,,,,,
Oct-27-2016,5.89mm,297.13,,,,,,297.125,,,,,,,297.125,
Oct-28-2016,27.79mm,334.63,,,,,,,,,,,,,334.625,
Oct-31-2016,8.68mm,339.38,,,,,,,,,,,,,,
Nov-01-2016,6.13mm,344.13,,,,,,,,,,,,,,
Nov-02-2016,6.07mm,334.50,,,,,,,,,,,,,,
Nov-04-2016,5.58mm,334.25,,,,,,,,,,,,,,
Nov-07-2016,3.63mm,331.13,,,,,,,,,,,,,,
Nov-08-2016,5.81mm,324.75,,,,,,,,,,,,,,
Nov-09-2016,6.57mm,316.88,,,,,,,,,,,,,,
Nov-10-2016,4.36mm,326.38,,,,,,,,,,,,,,
Nov-11-2016,4.46mm,314.75,,,,,,,,,,,,,,
Nov-14-2016,5.13mm,321.13,,,,,,,,,,,,,,
Nov-15-2016,4.22mm,326.88,,,,,,,,,,,,,,
Nov-16-2016,4.95mm,322.75,,,,,,,,,,,,,,
Nov-17-2016,3.13mm,322.38,,,,,,,,,,,,,,
Nov-18-2016,7.47mm,312.88,,,,,,,,,,,,,,
Nov-21-2016,3.35mm,317.00,,,,,,,,,,,,,,
Nov-22-2016,3.80mm,315.00,,,,,,,,,,,,,,
Nov-24-2016,4.51mm,317.88,,,,,,,,,,,,,,
Nov-25-2016,4.05mm,314.13,,,,,,,,,,,,,,
Nov-28-2016,3.21mm,316.00,,,,,,,,,,,,,,
Nov-29-2016,3.15mm,312.88,,,,,,,,,,,,,,
Nov-30-2016,2.82mm,312.25,,,,,,,,,,,,,,
Dec-01-2016,4.20mm,312.75,,,,,,,,,,,,,,
Dec-02-2016,4.33mm,309.88,,,,,,,,,,,,,,
Dec-05-2016,4.18mm,305.13,,,,,,,,,,,,,,
Dec-06-2016,3.11mm,302.88,,,,,,,,,,,,,,
Dec-07-2016,4.30mm,302.13,,,,,,,,,,,,,,
Dec-08-2016,3.58mm,308.63,,,,,,,,,,,,,,
Dec-09-2016,6.40mm,316.13,,,,,,,,,,,,,,
Dec-12-2016,4.56mm,319.00,,,,,,,,,,,,,,
Dec-13-2016,4.97mm,317.88,,,,,,,,,,,,,,
Dec-14-2016,2.83mm,321.13,,,,,,,,,,,,,,
Dec-15-2016,3.53mm,313.88,,,,,,,,,,,,,,
Dec-16-2016,3.51mm,310.25,,,,,,,,,,,,,,
Dec-19-2016,3.54mm,310.63,,,,,,,,,,,,,,
Dec-20-2016,3.91mm,318.75,,,,,,,,,,,,,,
Dec-21-2016,6.70mm,324.88,,,,,,,,,,,,,,
Dec-22-2016,7.67mm,332.63,,,,,,,,,,,,,,
Dec-26-2016,5.51mm,342.63,,,,,,,,,,,,,,
Dec-27-2016,3.44mm,341.50,,,,,,,,,,,,,,
Dec-28-2016,3.43mm,347.75,,,,,,,,,,,,,,
Dec-29-2016,2.90mm,348.38,,,,,,,,,,,,,,
Dec-30-2016,2.87mm,343.75,,,,,,,,,,,,,,
Jan-04-2017,10.72mm,354.63,,,,,,,,,,,,,,
Jan-05-2017,7.17mm,351.25,,,,,,,,,,,,,,
Jan-06-2017,7.78mm,345.88,,,,,,,,,,,,,,
Jan-10-2017,5.24mm,344.50,,,,,,,,,,,,,,
Jan-11-2017,3.49mm,342.75,,,,,,,,,,,,,,
Jan-12-2017,4.82mm,335.75,,,,,,,,,,,,,,
Jan-13-2017,6.63mm,333.50,,,,,,,,,,,,,,
Jan-16-2017,5.37mm,326.88,,,,,,,,,,,,,,
Jan-17-2017,6.72mm,318.63,,,,,,,,,,,,,,
Jan-18-2017,5.38mm,321.13,,,,,,,,,,,,,,
Jan-19-2017,5.94mm,321.00,,,,,,,,,,,,,,
Jan-20-2017,3.39mm,323.75,,,,,,,,,,,,,,
Jan-23-2017,3.85mm,320.13,,,,,,,,,,,,,,
Jan-24-2017,4.28mm,318.25,,,,,,,,,,,,,,
Jan-25-2017,6.07mm,317.25,,,,,,,,,,,,,,
Jan-26-2017,8.17mm,323.25,,,,,,,,,,,,,,
Jan-27-2017,10.44mm,312.50,,,,,,,,,,,,,,
Jan-30-2017,14.29mm,302.25,,,,,,,,,,,,,,
Jan-31-2017,9.25mm,299.00,,,,,,,,,,,,,,
Feb-01-2017,9.81mm,301.38,,,,,,301.375,,,,,,,301.375,
Feb-02-2017,29.35mm,273.50,,,,,,,,,,,,,,
Feb-03-2017,10.71mm,272.88,,,,,,,,,,,,,,
Feb-06-2017,10.74mm,278.75,,,,,,,,,,,,,,
Feb-07-2017,11.46mm,278.25,,,,,,,,,,,,,,
Feb-08-2017,7.53mm,283.38,,,,,,,,,,,,,,
Feb-09-2017,9.12mm,288.00,,,,,,,,,,,,,,
Feb-10-2017,8.33mm,286.00,,,,,,,,,,,,,,
Feb-13-2017,5.00mm,290.38,,,,,,,,,,,,,,
Feb-14-2017,5.35mm,291.88,,,,,,,,,,,,,,
Feb-15-2017,3.27mm,290.50,,,,,,,,,,,,,,
Feb-16-2017,7.42mm,297.50,,,,,,,,,,,,,,
Feb-17-2017,6.79mm,299.25,,,,,,,,,,,,,,
Feb-20-2017,3.39mm,298.88,,,,,,,,,,,,,,
Feb-21-2017,4.41mm,297.50,,,,,,,,,,,,,,
Feb-22-2017,3.56mm,299.00,,,,,,,,,,,,,,
Feb-23-2017,4.06mm,297.25,,,,,,,,,,,,,,
Feb-24-2017,7.11mm,292.63,,,,,,,,,,,,,,
Feb-27-2017,10.15mm,286.13,,,,,,,,,,,,,286.125,
Feb-28-2017,3.13mm,285.63,,,,,,,,,,,,,,
Mar-01-2017,4.42mm,290.25,,,,,,,,,,,,,,
Mar-02-2017,2.95mm,289.88,,,,,,,,,,,,,,
Mar-03-2017,2.99mm,288.38,,,,,,,,,,,,,,
Mar-06-2017,4.24mm,288.25,,,,,,,,,,,,,,
Mar-07-2017,4.09mm,291.13,,,,,,,,,,,,,,
Mar-08-2017,9.43mm,299.00,,,,,,,,,,,,,,
Mar-09-2017,7.61mm,297.63,,,,,,,,,,,,,,
Mar-10-2017,4.08mm,296.25,,,,,,,,,,,,,,
Mar-13-2017,7.07mm,305.38,,,,,,,,,,,,,,
Mar-14-2017,5.42mm,306.13,,,,,,,,,,,,,,
Mar-15-2017,3.60mm,302.38,,,,,,,,,,,,,,
Mar-16-2017,3.55mm,302.75,,,,,,,,,,,,,,
Mar-17-2017,5.31mm,301.88,,,,,,,,,,,,,,
Mar-21-2017,3.66mm,300.50,,,,,,,,,,,,,,
Mar-22-2017,6.28mm,290.63,,,,,,,,,,,,,,
Mar-23-2017,6.53mm,284.88,,,,,,,,,,,,,,
Mar-24-2017,4.59mm,286.25,,,,,,,,,,,,,,
Mar-27-2017,4.88mm,278.88,,,,,,,,,,,,,,
Mar-28-2017,4.09mm,282.25,,,,,,,,,,,,,,
Mar-29-2017,3.49mm,279.00,,,,,,279,,,,,,,,
Mar-30-2017,6.93mm,270.13,,,,,,,,,,,,,,
Mar-31-2017,6.87mm,271.38,,,,,271.375,,,,,,,,,
Apr-03-2017,5.22mm,275.25,,,,,,,,,,,,,,
Apr-04-2017,5.32mm,270.13,,,,,,,,,,,,,,
Apr-05-2017,5.48mm,270.63,,,,,,,,,,,,,,
Apr-06-2017,7.02mm,270.13,,,,,,,,,,,,,,
Apr-07-2017,3.64mm,271.63,,,,,,,,,,,,,,
Apr-10-2017,4.26mm,276.38,,,,,,,,,,,,,,
Apr-11-2017,4.75mm,277.63,,,,,,,,,,,,,,
Apr-12-2017,5.17mm,275.00,,,,,,,,,,,,,,
Apr-13-2017,6.83mm,268.75,,,,,,,,,,,,,,
Apr-14-2017,4.88mm,266.25,,,,,,,,,,,,,,
Apr-17-2017,5.39mm,269.38,,,,,,,,,,,,,,
Apr-18-2017,6.91mm,274.63,,,,,,,,,,,,,,
Apr-19-2017,7.22mm,279.38,,,,,,,,,,,,,,
Apr-20-2017,5.96mm,276.75,,,,,,,,,,,,,,
Apr-21-2017,5.21mm,275.50,,,,,,,,,,,,,,
Apr-24-2017,4.24mm,279.25,,,,,,,,,,,,,,
Apr-25-2017,6.55mm,282.25,,,,,,,,,,,,,,
Apr-26-2017,7.87mm,288.25,,,,,,,,,,,,,,
Apr-27-2017,6.99mm,282.00,,,,,,,,,,,,,282,
Apr-28-2017,26.11mm,300.50,,,,,,,,,,,,,,
May-01-2017,11.44mm,308.75,,,,,,,,,,,,,,
May-02-2017,8.90mm,306.88,,,,,,,,,,,,,,
May-08-2017,10.86mm,311.00,,,,,,,,,,,,,,
May-09-2017,6.29mm,312.13,,,,,,,,,,,,,,
May-10-2017,6.69mm,317.00,,,,,,,,,,,,,,
May-11-2017,9.52mm,313.00,,,,,,,,,,,,,,
May-12-2017,3.85mm,311.25,,,,,,,,,,,,,,
May-15-2017,4.87mm,313.63,,,,,,,,,,,,,,
May-16-2017,3.76mm,313.38,,,,,,,,,,,,,,
May-17-2017,4.40mm,312.38,,,,,,,,,,,,,,
May-18-2017,5.84mm,308.25,,,,,,,,,,,,,,
May-19-2017,4.96mm,307.00,,,,,,,,,,,,,,
May-22-2017,3.13mm,310.13,,,,,,,,,,,,,,
May-23-2017,2.55mm,308.63,,,,,,,,,,,,,,
May-24-2017,3.51mm,308.75,,,,,,,,,,,,,,
May-25-2017,4.41mm,310.25,,,,,,,,,,,,,,
