Dates,"Nintendo Co., Ltd. (TSE:7974) - Share Pricing",Annotation,Bankruptcy Updates,Announced/Completed Transactions,Company Forecasts and Ratings,Corporate Structure Related,Potential Red Flags/Distress Indicators,Potential Transactions,Listing/Trading Related,Investor Activism,Dividends/Splits,Transaction Updates,Insider Trades,Results Announcements/Corporate Communications,Annotation,"Nintendo Co., Ltd. (TSE:7974) - Volume"
Apr-20-2016,1722.00,,,,,,,,,,,,,,,8.55mm
Apr-21-2016,1746.00,,,,,,,,,,,,,,,5.13mm
Apr-22-2016,1714.00,,,,,,,,,,,,,,,7.49mm
Apr-25-2016,1689.00,,,,,,,,,,,,,,,6.56mm
Apr-26-2016,1666.50,,,,,,,,,,,,,,,5.75mm
Apr-27-2016,1652.00,,,,,,,,,,,,,1652,,5.18mm
Apr-28-2016,1515.50,,,,,,,,,,,,,1515.5,,21.91mm
May-02-2016,1493.50,,,,,,,,,,,,,,,11.58mm
May-06-2016,1499.00,,,,,,,,,,,,,,,8.16mm
May-09-2016,1522.00,,,,,,,,,,,,,,,6.13mm
May-10-2016,1517.00,,,,,,,,,,,,,,,6.26mm
May-11-2016,1520.00,,,,,,,,,,,,,,,4.13mm
May-12-2016,1556.50,,,,,,,,,,,,,,,5.89mm
May-13-2016,1535.00,,,,,,,,,,,,,,,4.61mm
May-16-2016,1560.50,,,,,,,,,,,,,,,4.57mm
May-17-2016,1600.50,,,,,,,,,,,,,,,5.10mm
May-18-2016,1613.00,,,,,,,,,,,,,,,6.04mm
May-19-2016,1634.00,,,,,,,,,,,,,,,4.42mm
May-20-2016,1636.50,,,,,,,,,,,,,,,3.23mm
May-23-2016,1617.00,,,,,,,,,,,,,,,3.95mm
May-24-2016,1578.50,,,,,,,,,,,,,,,4.68mm
May-25-2016,1595.00,,,,,,,,,,,,,,,3.36mm
May-26-2016,1587.00,,,,,,,,,,,,,,,2.76mm
May-27-2016,1586.00,,,,,,,,,,,,,,,5.11mm
May-30-2016,1600.00,,,,,,,,,,,,,,,3.85mm
May-31-2016,1645.00,,,,,,,,,,,,,,,9.89mm
Jun-01-2016,1605.50,,,,,,,,,,,,,,,5.35mm
Jun-02-2016,1569.50,,,,,,,,,,,,,,,6.74mm
Jun-03-2016,1582.00,,,,,,,,,,,,,,,3.23mm
Jun-06-2016,1584.50,,,,,,,,,,,,,,,4.33mm
Jun-07-2016,1624.50,,,,,,,,,,,,,,,4.29mm
Jun-08-2016,1631.00,,,,,,,,,,,,,,,4.85mm
Jun-09-2016,1628.50,,,,,,,,,,,,,,,3.98mm
Jun-10-2016,1606.50,,,,,,,,,,,,,,,4.80mm
Jun-13-2016,1535.50,,,,,,,,,,,,,,,4.88mm
Jun-14-2016,1522.50,,,,,,,,,,,,,,,5.36mm
Jun-15-2016,1505.50,,,,,,,,,,,,,,,4.49mm
