Dates,Sony Group Corporation (TSE:6758) - Volume,Sony Group Corporation (TSE:6758) - Share Pricing,Annotation,Annotation,Bankruptcy Updates,Transaction Updates,Announced/Completed Transactions,Potential Red Flags/Distress Indicators,Dividends/Splits,Company Forecasts and Ratings,Listing/Trading Related,Potential Transactions,Corporate Structure Related,Investor Activism,Insider Trades,Results Announcements/Corporate Communications,Annotation
Apr-20-2016,72.88mm,605.40,,,,,,,,,,,,,,,
Apr-21-2016,48.36mm,614.00,,,,,,,,614,,,,,,,
Apr-22-2016,82.42mm,603.40,,,,,,,,,,,,,,,
Apr-25-2016,91.21mm,567.10,,,,,,,,,,,,,,,
Apr-26-2016,45.65mm,570.00,,,,,,,,,,,,,,,
Apr-27-2016,29.18mm,567.40,,,,,,,,,,,,,,,
Apr-28-2016,53.65mm,555.60,,,,,,,555.6,555.6,,,555.6,,,555.6,
May-02-2016,64.60mm,533.30,,,,,,,,,,,,,,,
May-06-2016,74.17mm,512.70,,,,,,,,,,,,,,,
May-09-2016,40.78mm,520.70,,,,,,,,,,,,,,,
May-10-2016,45.01mm,536.30,,,,,,,,,,,,,,,
May-11-2016,52.12mm,546.00,,,,,,,,,,,,,,,
May-12-2016,73.30mm,570.00,,,,,,,,,,,,,,,
May-13-2016,83.31mm,579.40,,,,,,,,,,,,,,,
May-16-2016,43.10mm,572.00,,,,,,,,,,,,,,,
May-17-2016,34.61mm,572.70,,,,,572.7,,,,,,572.7,,,,
May-18-2016,60.11mm,588.80,,,,,,,,,,,,,,,
May-19-2016,37.83mm,576.50,,,,,,,,,,,,,,,
May-20-2016,32.06mm,583.40,,,,,,,,,,,,,,,
May-23-2016,41.96mm,580.70,,,,,,,,,,,,,,,
May-24-2016,41.03mm,577.10,,,,,,,,577.1,,,,,,577.1,
May-25-2016,113.88mm,614.40,,,,,,,,,,,,,,,
May-26-2016,59.45mm,614.40,,,,,,,,,,,,,,,
May-27-2016,29.98mm,615.60,,,,,,,,,,,,,,,
May-30-2016,22.67mm,616.40,,,,,,,,,,,,,,,
May-31-2016,34.13mm,620.00,,,,,,,,,,,,,,,
Jun-01-2016,35.88mm,614.60,,,,,,,,,,,,,,,
Jun-02-2016,32.95mm,604.60,,,,,,,,,,,,,,,
Jun-03-2016,35.05mm,614.40,,,,,,,,,,,,,,,
Jun-06-2016,32.66mm,617.00,,,,,,,,,,,,,,,
Jun-07-2016,26.71mm,620.40,,,,,,,,,,,,,,,
Jun-08-2016,28.86mm,623.40,,,,,,,,,,,,,,,
Jun-09-2016,22.46mm,614.80,,,,,,,,,,,,,,,
Jun-10-2016,36.23mm,610.20,,,,,,,,,,,,,,,
Jun-13-2016,40.97mm,586.00,,,,,,,,,,,,,,,
Jun-14-2016,51.34mm,588.20,,,,,,,,,,,,,,,
Jun-15-2016,41.94mm,595.00,,,,,,,,,,,,,,,
Jun-16-2016,63.10mm,575.90,,,,,,,,,,,,,,,
Jun-17-2016,44.40mm,579.80,,,,,,,,,,,,,,579.8,
Jun-20-2016,37.28mm,597.50,,,,,,,,,,,,,,,
Jun-21-2016,37.38mm,612.00,,,,,,,,,,,,,,,
Jun-22-2016,36.66mm,600.80,,,,,,,,,,,,,,,
Jun-23-2016,26.10mm,603.40,,,,,,,,,,,,,,,
Jun-24-2016,93.59mm,555.10,,,,,,555.1,,,,,,,,,
Jun-27-2016,38.78mm,556.40,,,,,,,,,,,,,,,
Jun-28-2016,43.99mm,565.10,,,,,,,,,,,,,,,
Jun-29-2016,66.23mm,592.40,,,,,,,,592.4,,,,,,592.4,
Jun-30-2016,59.62mm,597.60,,,,,,,,,,,,,,,
Jul-01-2016,34.90mm,601.40,,,,,,,,,,,,,,,
Jul-04-2016,27.58mm,607.60,,,,,,,,,,,,,,,
Jul-05-2016,27.11mm,607.20,,,,,,,,,,,,,,,
Jul-06-2016,45.37mm,605.80,,,,,,,,,,,,,,,
Jul-07-2016,35.96mm,606.80,,,,,,,,,,,,,,,
Jul-08-2016,37.63mm,602.60,,,,,,,,,,,,,,,
Jul-11-2016,56.57mm,626.60,,,,,,,,,,,,,,,
Jul-12-2016,52.75mm,628.20,,,,,,,,,,,,,,,
Jul-13-2016,60.70mm,614.80,,,,,,,,,,,,,,,
Jul-14-2016,38.77mm,632.40,,,,,,,,,,,,,,,
Jul-15-2016,46.53mm,635.80,,,,,,,,,,,,,,,
Jul-19-2016,56.55mm,647.20,,,,,,,,,,,,,,,
Jul-20-2016,29.01mm,646.40,,,,,,,,,,,,,,,
Jul-21-2016,35.87mm,642.60,,,,,,,,,,,,,,,
Jul-22-2016,33.40mm,639.20,,,,,,,,,,,,,,,
Jul-25-2016,22.84mm,632.00,,,,,,,,,,,,,,,
Jul-26-2016,24.51mm,632.00,,,,,,,,,,,,,,,
Jul-27-2016,31.22mm,645.20,,,,,,,,,,,,,,,
Jul-28-2016,24.90mm,638.40,,,,,638.4,,,,,,,,,,
Jul-29-2016,54.95mm,656.40,,,,,,,656.4,656.4,,,,,,656.4,
Aug-01-2016,52.49mm,667.80,,,,,,,,,,,,,,,
Aug-02-2016,32.22mm,664.60,,,,,,,,,,,,,,,
Aug-03-2016,31.44mm,653.60,,,,,,,,,,,,,,,
Aug-04-2016,25.62mm,655.80,,,,,,,,,,,,,,,
Aug-05-2016,22.97mm,658.60,,,,,,,,,,,,,,,
Aug-08-2016,24.83mm,659.40,,,,,,,,,,,,,,,
Aug-09-2016,30.53mm,674.80,,,,,,,,,,,,,,,
Aug-10-2016,27.52mm,674.60,,,,,,,,,,,,,,,
Aug-12-2016,25.38mm,669.80,,,,,,,,,,,,,,,
Aug-15-2016,22.74mm,660.00,,,,,,,,,,,,,,,
Aug-16-2016,29.91mm,659.00,,,,,,,,,,,,,,,
Aug-17-2016,33.98mm,650.60,,,,,650.6,,,,,650.6,,,,,
Aug-18-2016,32.69mm,654.00,,,,,654,,,,,,,,,,
Aug-19-2016,19.95mm,654.60,,,,,,,,,,,,,,,
Aug-22-2016,19.94mm,663.80,,,,,,,,,,,,,,,
Aug-23-2016,22.87mm,660.40,,,,,,,,,,,,,,,
Aug-24-2016,33.49mm,674.60,,,,,,,,,,,,,,,
Aug-25-2016,28.61mm,674.20,,,,,,,,,,,,,,,
Aug-26-2016,23.52mm,666.20,,,,,,,,,,,,,,,
Aug-29-2016,26.66mm,669.40,,,,,,,,,,,,,,,
Aug-30-2016,18.05mm,665.20,,,,,,,,,,665.2,,,,,
Aug-31-2016,31.01mm,665.00,,,,,,,,,,,,,,,
Sep-01-2016,25.13mm,660.00,,,,,,,,,,,,,,,
Sep-02-2016,26.83mm,670.00,,,,,,,,,,,,,,,
Sep-05-2016,35.26mm,680.20,,,,,,,,,,,,,,,
Sep-06-2016,26.24mm,687.00,,,,,,,,,,,,,,,
Sep-07-2016,25.03mm,687.40,,,,,,,,,,,,,,,
Sep-08-2016,25.63mm,682.20,,,,,,,,,,,,,,,
Sep-09-2016,24.48mm,677.80,,,,,677.8,,,,,,,,,,
Sep-12-2016,32.77mm,657.40,,,,,,,,,,,,,,657.4,
Sep-13-2016,26.76mm,667.40,,,,,,,,,,,,,,,
Sep-14-2016,20.21mm,663.80,,,,,,,,,,,,,,,
Sep-15-2016,21.77mm,655.80,,,,,655.8,,,,,,,,,,
Sep-16-2016,19.54mm,654.00,,,,,,,,,,,,,,,
Sep-20-2016,32.97mm,664.00,,,,,,,,,,,,,,,
Sep-21-2016,35.47mm,674.60,,,,,,,,,,,,,,,
Sep-23-2016,31.89mm,680.00,,,,,,,,,,,,,,,
Sep-26-2016,20.98mm,676.20,,,,,,,,,,,,,,,
Sep-27-2016,30.90mm,675.60,,,,,,,675.6,,,,,,,,
Sep-28-2016,21.19mm,673.60,,,,,,,673.6,,,,,,,,
Sep-29-2016,24.76mm,676.60,,,,,,,,,,,,,,,
Sep-30-2016,35.50mm,658.60,,,,,,,,,,,,,,,
Oct-03-2016,21.27mm,667.00,,,,,,,,,,,,,,,
Oct-04-2016,18.56mm,674.20,,,,,,,,,,,,,,,
Oct-05-2016,19.84mm,678.40,,,,,,,,,,,,,,,
Oct-06-2016,19.28mm,677.00,,,,,,,,,,,,,,,
Oct-07-2016,23.18mm,670.00,,,,,,,,,,,,,,,
Oct-11-2016,36.27mm,682.80,,,,,,,,,,,,,,,
Oct-12-2016,21.35mm,676.80,,,,,,,,,,,,,,,
Oct-13-2016,42.58mm,685.60,,,,,,,,,,,,,,,
Oct-14-2016,44.82mm,687.80,,,,,,,,,,,,,,,
Oct-17-2016,26.20mm,685.20,,,,,,,,,,,,,,,
Oct-18-2016,32.90mm,694.40,,,,,,,,,,,,,,,
Oct-19-2016,28.46mm,680.40,,,,,,,,,,,,,,,
Oct-20-2016,30.51mm,680.60,,,,,,,,,,,,,,,
Oct-21-2016,48.34mm,664.20,,,,,,,,,,,,,,,
Oct-24-2016,25.70mm,663.60,,,,,,,,,,,,,,,
Oct-25-2016,25.31mm,666.00,,,,,,666,,,,,,,,,
Oct-26-2016,20.88mm,665.00,,,,,,,,,,,,,,,
Oct-27-2016,20.36mm,660.40,,,,,,,,,,,,,,,
